environment_rank,environment_key,parent_key,depth,observations,winners,hit_rate_percent,parent_observations,parent_adjusted_hit_rate_percent,adjusted_hit_rate_percent,lift_vs_root_pp,lift_vs_parent_pp,can_grow,environment,conditions_json,historical_row_count,ranking_score_percent,evidence_factor
1286,race_type=Topp 5-profil AND score_gap_bucket=20+,score_gap_bucket=20+,2,2,0,0.0,116,44.7479,40.6799,1.3942,-4.068,False,Lopptyp = Topp 5-profil -> ScoreGap = 20+,"[{""variable"":""Lopptyp"",""column"":""race_type"",""value"":""Topp 5-profil""},{""variable"":""ScoreGap"",""column"":""score_gap_bucket"",""value"":""20+""}]",2,39.5181,0.1667
1287,spike_gap_bucket=10–20 AND spike_score_bucket=325–350 AND value_count_bucket=2,spike_score_bucket=325–350 AND value_count_bucket=2,3,3,1,33.3333,7,43.2641,40.2849,0.9992,-2.9792,False,SpikeGap = 10–20 -> SpikeScore = 325–350 -> Antal value = 2,"[{""variable"":""SpikeGap"",""column"":""spike_gap_bucket"",""value"":""10–20""},{""variable"":""SpikeScore"",""column"":""spike_score_bucket"",""value"":""325–350""},{""variable"":""Antal value"",""column"":""value_count_bucket"",""value"":""2""}]",3,39.5163,0.2308
1288,race_type=Topp 5-profil AND value_count_bucket=3+,value_count_bucket=3+,2,1,0,0.0,13,45.0216,41.8058,2.5201,-3.2158,False,Lopptyp = Topp 5-profil -> Antal value = 3+,"[{""variable"":""Lopptyp"",""column"":""race_type"",""value"":""Topp 5-profil""},{""variable"":""Antal value"",""column"":""value_count_bucket"",""value"":""3+""}]",1,39.5148,0.0909
1289,score_gap_bucket=0–5 AND value_count_bucket=3+,value_count_bucket=3+,2,1,0,0.0,13,45.0216,41.8058,2.5201,-3.2158,False,ScoreGap = 0–5 -> Antal value = 3+,"[{""variable"":""ScoreGap"",""column"":""score_gap_bucket"",""value"":""0–5""},{""variable"":""Antal value"",""column"":""value_count_bucket"",""value"":""3+""}]",1,39.5148,0.0909
1290,score_gap_bucket=15–20 AND value_count_bucket=3+,value_count_bucket=3+,2,1,0,0.0,13,45.0216,41.8058,2.5201,-3.2158,False,ScoreGap = 15–20 -> Antal value = 3+,"[{""variable"":""ScoreGap"",""column"":""score_gap_bucket"",""value"":""15–20""},{""variable"":""Antal value"",""column"":""value_count_bucket"",""value"":""3+""}]",1,39.5148,0.0909
1291,score_gap_bucket=10–15 AND spike_score_bucket=350–375 AND yellow_warning=true,score_gap_bucket=10–15 AND spike_score_bucket=350–375,3,6,2,33.3333,9,44.2639,39.8917,0.606,-4.3722,True,ScoreGap = 10–15 -> SpikeScore = 350–375 -> Gul varning = Ja,"[{""variable"":""ScoreGap"",""column"":""score_gap_bucket"",""value"":""10–15""},{""variable"":""SpikeScore"",""column"":""spike_score_bucket"",""value"":""350–375""},{""variable"":""Gul varning"",""column"":""yellow_warning"",""value"":true}]",6,39.513,0.375
1292,race_type=Öppet lopp AND spread_bucket=80+ AND value_count_bucket=1,race_type=Öppet lopp AND spread_bucket=80+,3,8,3,37.5,36,40.6953,39.7824,0.4966,-0.9129,True,Lopptyp = Öppet lopp -> Spread = 80+ -> Antal value = 1,"[{""variable"":""Lopptyp"",""column"":""race_type"",""value"":""Öppet lopp""},{""variable"":""Spread"",""column"":""spread_bucket"",""value"":""80+""},{""variable"":""Antal value"",""column"":""value_count_bucket"",""value"":""1""}]",8,39.5065,0.4444
1293,race_type=3-hästarslopp AND red_warning=true AND spike_score_bucket=375–400,race_type=3-hästarslopp AND red_warning=true,3,3,1,33.3333,7,43.1899,40.2329,0.9472,-2.957,False,Lopptyp = 3-hästarslopp -> Röd varning = Ja -> SpikeScore = 375–400,"[{""variable"":""Lopptyp"",""column"":""race_type"",""value"":""3-hästarslopp""},{""variable"":""Röd varning"",""column"":""red_warning"",""value"":true},{""variable"":""SpikeScore"",""column"":""spike_score_bucket"",""value"":""375–400""}]",3,39.5043,0.2308
1294,red_warning=false AND spike_gap_bucket=0–10 AND spike_score_bucket=400+,red_warning=false AND spike_gap_bucket=0–10,3,1,0,0.0,31,43.7075,41.6262,2.3405,-2.0813,False,Röd varning = Nej -> SpikeGap = 0–10 -> SpikeScore = 400+,"[{""variable"":""Röd varning"",""column"":""red_warning"",""value"":false},{""variable"":""SpikeGap"",""column"":""spike_gap_bucket"",""value"":""0–10""},{""variable"":""SpikeScore"",""column"":""spike_score_bucket"",""value"":""400+""}]",1,39.4985,0.0909
1295,red_warning=false AND spike_score_bucket=<300 AND yellow_warning=true,red_warning=false AND yellow_warning=true,3,6,2,33.3333,86,41.7838,39.8337,0.548,-1.9501,True,Röd varning = Nej -> SpikeScore = <300 -> Gul varning = Ja,"[{""variable"":""Röd varning"",""column"":""red_warning"",""value"":false},{""variable"":""SpikeScore"",""column"":""spike_score_bucket"",""value"":""<300""},{""variable"":""Gul varning"",""column"":""yellow_warning"",""value"":true}]",6,39.4912,0.375
1296,score_gap_bucket=15–20 AND spread_bucket=80+ AND yellow_warning=false,score_gap_bucket=15–20 AND yellow_warning=false,3,2,0,0.0,11,47.8239,40.4664,1.1807,-7.3575,False,ScoreGap = 15–20 -> Spread = 80+ -> Gul varning = Nej,"[{""variable"":""ScoreGap"",""column"":""score_gap_bucket"",""value"":""15–20""},{""variable"":""Spread"",""column"":""spread_bucket"",""value"":""80+""},{""variable"":""Gul varning"",""column"":""yellow_warning"",""value"":false}]",2,39.4825,0.1667
1297,race_type=3-hästarslopp AND score_gap_bucket=15–20 AND value_count_bucket=2,race_type=3-hästarslopp AND value_count_bucket=2,3,1,0,0.0,10,45.5375,41.3977,2.112,-4.1398,False,Lopptyp = 3-hästarslopp -> ScoreGap = 15–20 -> Antal value = 2,"[{""variable"":""Lopptyp"",""column"":""race_type"",""value"":""3-hästarslopp""},{""variable"":""ScoreGap"",""column"":""score_gap_bucket"",""value"":""15–20""},{""variable"":""Antal value"",""column"":""value_count_bucket"",""value"":""2""}]",1,39.4777,0.0909
